project,repository,description,last activity,selected 
gerrit,cdt/org.eclipse.cdt.master.git,Old CDT master build repo. (Obsolete),2 years,0
gerrit,cdt/org.eclipse.cdt.old.git,Old experimental CDT plugins.,2 years,0
gerrit,cdt/org.eclipse.launchbar.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,0
gerrit,cdt/org.eclipse.tools.templates.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,0
gerrit,chemclipse/org.eclipse.chemclipse.amdiscalri.git,Retention index calculation based on AMDIS *.cal files.,8 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.amdismsdata.git,Import/export of AMDIS file formats (*.msl, *.msp, *.elu).,12 days,0
gerrit,chemclipse/org.eclipse.chemclipse.baselinedetec.git,Baseline detector.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.baselinesnip.git,Baseline detector and mass spectrum filter (SNIP algorithm).,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.chemclipse.git,ChemClipse product build files.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.chemclipse3rdpl.git,"Unnamed repository, edit this file 'description' to name the repository.",7 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.chemclipsebatchj.git,Chromatogram batch processing.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.chemclipsecore.git,ChemClipse core platform.,5 days,0
gerrit,chemclipse/org.eclipse.chemclipse.chemclipsems.git,ChemClipse file format (*.ocb),3 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.chemclipsemsx.git,XML based file format for chromatogram.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.chemclipsequant.git,Chromatogram quantitation support.,3 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.chemclipsesvg.git,Export of chromatograms to *.svg format.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.classifierdurbinwatson.git,Durbin-Watson classifier.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.classifierwnc.git,Water, nitrogen and carbon dioxide classifier.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.compilationbase.git,Feature defintions for the compilation.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.compmsdistance.git,Mass spectrum comparison based on cosine phi.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.compmsincos.git,Mass spectrum comparison based on INCOS.,9 weeks,0
gerrit,chemclipse/org.eclipse.chemclipse.converteraniml.git,Import/export of AniML file format (*.animl).,9 weeks,0
